hltTimingSummary output at a glance: 

Input file: outputTiming.root
Output root file name: outfile.root

NOTE: Results obtained using CPU time.
      Due to resolution effects in CPUTimer, event histograms may not reflect reality.
      Please be aware of these limitations when drawing your conclusions.

Skipping 65 event(s) due to module initialization:
Events 0, 1, 15, 77, 26, 24, 79, 5, 20, 7516, 271, 186, 258, 530, 56, 1773, 2049, 4609, 1999, 76, 350, 952, 97583, 379, 804, 24881, 39009, 15592, 7970, 99410, 8614, 4317, 17, 164, 395, 19, 2203, 13822, 2379, 3761, 16184, 38, 118, 222, 512, 158, 108, 5473, 207, 751, 4069, 6102, 15685, 28967, 3990, 77063, 1621, 123, 4843, 692, 300, 561, 25, 800, 3887

Not including any information from the following excluded modules: 
hltGetRaw
hltGetConditions
hltBoolFalse
hltBoolTrue

Average path times are as follows (all in msec): 
  96.3808 (path HLT_Photon20_CaloIdVL_IsoL_v9)
  12.8608 (path HLT_Photon20_R9Id_Photon18_R9Id_v7)
   3.9270 (path HLT_Photon20_CaloIdVT_IsoT_Ele8_CaloIdL_CaloIsoVL_v11)
   3.9270 (path HLT_Photon26_Photon18_v7)
   3.9270 (path HLT_Photon26_CaloIdXL_IsoXL_Photon18_v4)
   3.9270 (path HLT_Photon26_CaloIdXL_IsoXL_Photon18_R9IdT_Mass60_v4)
   3.9270 (path HLT_Photon26_CaloIdXL_IsoXL_Photon18_CaloIdXL_IsoXL_Mass60_v4)
   3.9270 (path HLT_Photon26_R9IdT_Photon18_CaloIdXL_IsoXL_Mass60_v4)
   3.9270 (path HLT_Photon26_R9IdT_Photon18_R9IdT_Mass60_v1)
   6.7594 (path HLT_Photon30_CaloIdVL_v8)
  35.4948 (path HLT_Photon30_CaloIdVL_IsoL_v11)
   7.7889 (path HLT_Photon36_Photon22_v1)
   7.7245 (path HLT_Photon36_CaloIdVL_Photon22_CaloIdVL_v2)
  20.6324 (path HLT_Photon36_CaloIdL_IsoVL_Photon22_v8)
   7.6350 (path HLT_Photon36_CaloIdL_IsoVL_Photon22_CaloIdL_IsoVL_v7)
   8.5936 (path HLT_Photon36_CaloIdL_IsoVL_Photon22_R9Id_v6)
   7.9832 (path HLT_Photon36_R9Id_Photon22_CaloIdL_IsoVL_v7)
   6.9072 (path HLT_Photon36_R9Id_Photon22_R9Id_v3)
   6.2186 (path HLT_Photon50_CaloIdVL_v4)
  10.4639 (path HLT_Photon50_CaloIdVL_IsoL_v9)
   6.3033 (path HLT_Photon60_CaloIdL_HT300_v3)
   6.3031 (path HLT_Photon60_CaloIdL_MHT70_v3)
   6.1977 (path HLT_Photon70_CaloIdXL_HT400_v3)
   6.1983 (path HLT_Photon70_CaloIdXL_HT500_v3)
   6.1979 (path HLT_Photon70_CaloIdXL_MHT90_v3)
   6.1978 (path HLT_Photon70_CaloIdXL_MHT100_v3)
   6.1220 (path HLT_Photon75_CaloIdVL_v7)
   6.9550 (path HLT_Photon75_CaloIdVL_IsoL_v10)
   6.1078 (path HLT_Photon90_CaloIdVL_v4)
   6.4695 (path HLT_Photon90_CaloIdVL_IsoL_v7)
   6.3540 (path HLT_Photon90EBOnly_CaloIdVL_IsoL_TriPFJet25_v5)
   6.3543 (path HLT_Photon90EBOnly_CaloIdVL_IsoL_TriPFJet30_v5)
   6.0987 (path HLT_Photon135_v2)
   6.0905 (path HLT_Photon225_NoHE_v2)
   6.0964 (path HLT_Photon400_v2)
   6.0900 (path HLT_Photon200_NoHE_v4)
   6.7677 (path HLT_DoublePhoton43_HEVT_v1)
   6.5183 (path HLT_DoublePhoton48_HEVT_v1)
   6.2192 (path HLT_DoublePhoton70_v1)
   6.1612 (path HLT_DoublePhoton80_v2)
   3.9216 (path HLT_DoublePhoton5_IsoVL_CEP_v9)
   3.9123 (path HLT_L1SingleEG5_v3)
   3.9527 (path HLT_L1SingleEG12_v3)
   3.9123 (path HLT_Ele8_v10)
   3.9123 (path HLT_Ele8_CaloIdL_CaloIsoVL_v10)
   3.9123 (path HLT_Ele8_CaloIdL_TrkIdVL_v10)
   3.9123 (path HLT_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v8)
  43.3588 (path HLT_Ele15_CaloIdT_CaloIsoVL_TrkIdT_TrkIsoVL_v4)
  36.3836 (path HLT_Ele17_CaloIdL_CaloIsoVL_v10)
  14.4768 (path HLT_Ele17_CaloIdVT_CaloIsoVT_TrkIdT_TrkIsoVT_SC8_Mass30_v10)
   3.9270 (path HLT_Ele17_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v10)
   3.9270 (path HLT_Ele17_CaloIdVT_CaloIsoVT_TrkIdT_TrkIsoVT_Ele8_Mass30_v9)
   3.9399 (path HLT_Ele22_CaloIdL_CaloIsoVL_Ele15_HFT_v3)
  34.7611 (path HLT_Ele27_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_v3)
   8.9828 (path HLT_Ele27_WP80_v3)
